LaptopID,CompanyName,TypeName,OSName,Inches,Ram,Weight,PriceEuros,CPUCompany,CPUModel,CPUFrequency,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPUCompany,GPUModel
1,Asus,Ultrabook,Linux,13.0,8,2.84,2127.09,Samsung,Core i5 7300HQ,3.1,128,0,SSD,HDD,AMD,Radeon R7 M460
2,Apple,2 in 1 Convertible,Mac OS X,15.7,32,1.55,1891.02,Intel,Ryzen 1700,3.4,512,512,Flash Storage,HDD,Nvidia,Radeon Pro 560
3,Acer,Gaming,No OS,13.6,16,2.51,2479.25,Samsung,Core i3 6100U,2.9,1024,0,HDD,SSD,AMD,GeForce 920
4,Acer,Ultrabook,Mac OS X,16.0,4,3.14,2639.51,AMD,E-Series 9000e,2.6,512,256,HDD,SSD,AMD,GeForce GTX 1070M
5,Microsoft,Workstation,No OS,15.1,8,2.34,960.99,AMD,Celeron Quad Core N3450,1.9,256,512,SSD,HDD,Intel,FirePro W6150M
6,Huawei,Gaming,Linux,12.0,16,1.53,1647.92,Samsung,Core i3 6100U,1.5,256,256,HDD,Hybrid,ARM,Quadro M1200
7,MSI,Notebook,Windows 7,14.4,4,3.15,712.67,Intel,Pentium Quad Core N3700,2.5,128,1024,Hybrid,Hybrid,Nvidia,Radeon R2 Graphics
8,Apple,Workstation,No OS,15.5,16,2.92,1218.47,AMD,Core M m3-7Y30,1.6,128,512,Flash Storage,No,Nvidia,Quadro M3000M
9,Google,2 in 1 Convertible,Mac OS X,12.5,8,2.35,2402.29,Samsung,Core i5,3.1,1024,0,SSD,SSD,Nvidia,GeForce GTX 1070
10,HP,Notebook,No OS,12.1,32,3.04,2940.56,Samsung,A6-Series 9220,1.4,1024,256,HDD,Hybrid,AMD,GeForce GTX 960M
11,Chuwi,Workstation,Linux,13.9,16,2.1,1697.45,Intel,Core i5 7Y54,1.8,512,0,Flash Storage,HDD,Intel,HD Graphics 520
12,HP,Notebook,No OS,16.8,16,1.18,942.61,Samsung,Core i7 6820HK,1.7,256,1024,Flash Storage,Hybrid,ARM,GeForce 150MX
13,Asus,Ultrabook,Windows 10 S,13.6,32,2.17,2268.5,Samsung,FX 8800P,4.4,128,0,Hybrid,SSD,Intel,GeForce GTX 1050 Ti
14,Chuwi,Notebook,Windows 7,14.2,32,1.46,1549.1,Intel,Core i5 7Y57,3.8,128,0,SSD,No,AMD,HD Graphics 500
15,Razer,Gaming,Chrome OS,12.8,32,3.26,744.52,Intel,Core i5 6440HQ,1.9,1024,512,Hybrid,Hybrid,AMD,GeForce 150MX
16,Toshiba,Notebook,macOS,14.9,4,2.87,454.35,Samsung,A9-Series A9-9420,2.8,256,0,SSD,HDD,Intel,Radeon R5 520
17,Acer,Workstation,Mac OS X,13.9,8,2.45,407.3,Intel,Core i5 7440HQ,3.3,512,512,Flash Storage,SSD,AMD,R4 Graphics
18,Vero,Notebook,Linux,14.2,4,1.02,1977.13,Samsung,E-Series E2-9000e,1.3,256,512,Flash Storage,SSD,Intel,GeForce GTX 1050 Ti
19,Xiaomi,Netbook,Windows 10,14.1,16,2.53,2965.53,Samsung,E-Series E2-9000,1.0,512,0,Flash Storage,SSD,Intel,Radeon Pro 560
20,Fujitsu,Notebook,Linux,13.2,8,2.79,849.71,Samsung,Xeon E3-1505M V6,2.8,512,0,SSD,Hybrid,Nvidia,Radeon R5
21,Apple,Netbook,Windows 10,15.2,16,1.4,1492.96,Samsung,Core i7 7660U,3.0,128,0,Flash Storage,No,Nvidia,Graphics 620
22,Fujitsu,Notebook,Windows 10 S,12.3,16,1.91,2819.34,Intel,Pentium Quad Core N3710,1.7,256,0,HDD,Hybrid,AMD,GeForce GTX 1070
23,Lenovo,Notebook,Windows 10 S,11.7,16,2.96,1411.63,Samsung,Core i5 7Y54,1.9,128,1024,SSD,Hybrid,AMD,Iris Graphics 540
24,Mediacom,Netbook,Linux,16.3,8,1.56,2082.09,AMD,Core i7 7600U,2.0,128,512,HDD,Hybrid,Nvidia,Radeon Pro 455
25,Asus,Netbook,Windows 10,14.9,16,1.1,1910.74,AMD,Core i7 7820HQ,2.5,128,1024,Flash Storage,SSD,Intel,GeForce 920
26,Razer,Ultrabook,Windows 7,16.9,8,1.91,488.93,Samsung,Core i7 7600U,3.2,128,512,HDD,Hybrid,Nvidia,Iris Graphics 550
