iter	Accuracy	Logloss
0	0.6351251647	0.6914009575
1	0.6773606584	0.6896886263
2	0.6892599903	0.6883210397
3	0.6992866745	0.6867585564
4	0.7051723131	0.6850569224
5	0.7034893083	0.6836708985
6	0.7067272632	0.6821947687
7	0.7071681373	0.6806887695
8	0.7147154382	0.6794306004
9	0.7114561409	0.6779807123
10	0.7163319766	0.6768576441
11	0.7164789346	0.6753573383
12	0.7213145246	0.6742250532
13	0.7213998944	0.6729513368
14	0.7251000658	0.6716061894
15	0.727769092	0.6705811094
16	0.7334437452	0.6691045848
17	0.7402349135	0.668200757
18	0.742000849	0.6672081407
19	0.7429252821	0.6661030982
20	0.7403391867	0.6650014907
21	0.7393720687	0.6636418356
22	0.7410123886	0.6626472155
23	0.7422947651	0.6613147641
24	0.7384476356	0.6601770327
25	0.7405074872	0.6589758808
26	0.7430935826	0.657842501
27	0.7451747766	0.6565008403
28	0.7512287157	0.6552935473
29	0.7504725831	0.654385469
30	0.7501359821	0.653355244
31	0.7490005637	0.6527313908
32	0.7550331603	0.6519094915
33	0.7583967308	0.6508560987
34	0.75961508	0.6499886598
35	0.759908996	0.6491837591
36	0.7631256085	0.6482834767
37	0.760392555	0.6476950282
38	0.7623054485	0.6467069538
39	0.766636137	0.6458297696
40	0.7653964454	0.6448175925
41	0.7644506699	0.6437373248
42	0.7703576509	0.642606836
43	0.7679611984	0.6416972056
44	0.7722705445	0.6407791978
45	0.772585803	0.6396182794
46	0.7688856315	0.6388700402
47	0.769684449	0.6381865484
48	0.7749395706	0.6372206394
49	0.7743090536	0.6361097448
50	0.7729626497	0.6352641496
51	0.7713650147	0.6344543183
52	0.7763475627	0.6335258141
53	0.7735931668	0.6329673435
54	0.7792702591	0.6319259237
55	0.7770207646	0.6309992211
56	0.7800477341	0.6302298602
57	0.7811831526	0.6292869957
58	0.7811831526	0.6285733445
59	0.7810148521	0.6277793364
60	0.7808252092	0.626938316
61	0.7808252092	0.6262370159
62	0.7776512816	0.6251225915
63	0.7802160346	0.624223668
64	0.7801946922	0.6234070319
65	0.7822545437	0.6223902868
66	0.7841674373	0.6216384267
67	0.7860803308	0.62105779
68	0.7871944068	0.6205535499
69	0.7897591598	0.6198368653
70	0.7918830387	0.6190437332
71	0.7912525217	0.6181704596
72	0.7920513392	0.6172487643
73	0.7929757723	0.6165230029
74	0.7941111907	0.6156602992
75	0.7962137272	0.615102983
76	0.7958984687	0.6146798262
77	0.7952466092	0.6138998731
78	0.7987784802	0.6130549513
79	0.7979796627	0.6124295449
80	0.7943008337	0.6117785866
81	0.7952679516	0.6112431291
82	0.7933550581	0.6105880419
83	0.7944691341	0.609995742
84	0.7980010051	0.6089246137
85	0.7984632217	0.6083171808
86	0.8007127161	0.6075319696
87	0.8008596742	0.6065444434
88	0.7982949212	0.606037277
89	0.7997242557	0.6053444079
90	0.8005230732	0.604964035
91	0.7998498713	0.6042301005
92	0.8019737502	0.6035242461
93	0.8003761152	0.6027719948
94	0.8003761152	0.6022892622
95	0.8016584917	0.6014963293
96	0.8013432332	0.6011069007
97	0.8032347842	0.600552361
98	0.8029195257	0.6000948069
99	0.8038866437	0.5996521743
100	0.8035713852	0.5987751568
101	0.8042232447	0.5983709345
102	0.8026256097	0.5977753581
103	0.8035927277	0.597159008
104	0.8029408682	0.5965654511
105	0.8054842787	0.5959158611
106	0.8069136133	0.5955499288
107	0.8046641188	0.5952111417
