iter	Passed	Remaining
0	2	1113
1	4	1020
2	5	991
3	7	976
4	9	962
5	11	952
6	13	944
7	15	938
8	17	944
9	19	938
10	21	940
11	23	938
12	24	933
13	26	930
14	28	925
15	30	922
16	32	921
17	34	921
18	36	921
19	38	923
20	40	923
21	42	921
22	44	918
23	46	916
24	48	915
25	50	913
26	52	912
27	54	913
28	56	912
29	58	914
30	60	912
31	62	909
32	64	906
33	65	904
34	67	901
35	69	898
36	71	896
37	73	893
38	75	891
39	77	888
40	79	887
41	81	885
42	83	883
43	84	880
44	86	879
45	89	879
46	91	881
47	93	880
48	95	878
49	97	876
50	99	874
51	101	872
52	103	872
53	105	871
54	107	869
55	109	866
56	111	865
57	113	862
58	115	860
59	117	858
60	118	855
61	120	853
62	122	850
63	124	848
64	126	846
65	128	844
66	130	842
67	132	840
68	134	837
69	135	835
70	137	833
71	139	830
72	141	828
73	143	828
74	145	826
75	147	823
76	149	821
77	151	819
78	153	817
79	155	815
80	157	812
81	159	811
82	161	809
83	162	807
84	164	805
85	167	803
86	168	801
87	170	799
88	172	797
89	174	795
90	176	793
91	178	791
92	180	789
93	182	787
94	184	785
95	186	783
96	188	781
97	189	779
98	191	777
99	193	775
100	196	777
101	198	776
102	200	774
103	202	771
104	204	769
105	206	768
106	208	767
107	211	766
