clientes_dia,horas_abierto,publicidad_soles,promociones_activas,empleados_turno,precio_promedio,visitas_redes,productos_vendidos,tiempo_espera_min,ticket_promedio,dia_semana,feriado,clima,zona,evento_especial,turno,tipo_local,sector,método_pago_predominante,competencia_cerca,ventas_soles
122,4.096824934208859,935.8787554425135,4,9,40.141186346953674,568,400,12.22616170486522,114.21480942053239,Viernes,No,Soleado,Residencial,No,Noche,Restaurante,Alimentos,Efectivo,Media,10527.05
199,4.072307752634337,866.5278268436531,4,6,46.72326959957064,271,498,6.279560734781123,177.1757124130676,Miércoles,No,Nublado,Residencial,No,Noche,Tienda,Otros,Plin,Alta,14156.56
112,6.8562347517600974,724.295797712774,3,9,49.54707281583498,126,216,10.908208629292686,165.2756460770848,Jueves,No,Lluvioso,Comercial,Sí,Mañana,Servicio,Tecnología,Yape,Media,7163.48
34,11.409552547454256,508.11396882046023,1,3,31.157722938247684,387,182,12.721215366402253,178.71647539141742,Sábado,No,Lluvioso,Comercial,No,Mañana,Tienda,Ropa,Efectivo,Alta,4371.97
126,5.82941423682887,544.3074448818164,1,4,9.899672721402458,912,412,14.481799188813952,127.08843495926034,Domingo,No,Lluvioso,Residencial,No,Tarde,Restaurante,Otros,Plin,Baja,9989.83
91,9.074909510973498,976.4823085197606,3,6,25.66084584989464,839,145,2.2014034562073874,103.0322022456627,Sábado,No,Lluvioso,Residencial,No,Tarde,Restaurante,Ropa,Yape,Media,8403.3
40,5.776606965546565,967.4819216900728,1,4,40.442051590774,895,178,1.1174107457661226,97.24754053820416,Domingo,No,Lluvioso,Comercial,No,Noche,Restaurante,Ropa,Tarjeta,Baja,6787.9
122,6.573359917276389,254.50559349654256,2,1,6.247639614283214,899,249,8.677949741314265,150.56362568226436,Sábado,No,Lluvioso,Industrial,No,Tarde,Servicio,Alimentos,Tarjeta,Baja,6959.5
141,10.784336716811872,820.5493379900522,3,7,7.559934726026708,788,221,4.699373466250002,109.04697688174296,Martes,No,Soleado,Comercial,No,Tarde,Servicio,Ropa,Plin,Baja,9710.04
94,9.830891538159575,237.38053285866596,3,5,8.02210020722696,962,262,7.567425056410068,30.096071289821573,Miércoles,No,Lluvioso,Residencial,No,Tarde,Restaurante,Tecnología,Efectivo,Alta,4752.6
107,4.763194218505685,252.86060398975383,1,8,37.89660912477399,324,353,2.0172216201855044,36.968414571069644,Jueves,No,Nublado,Comercial,No,Tarde,Servicio,Otros,Tarjeta,Baja,6824.01
136,7.429616167891469,692.2883824563479,0,9,27.552498285342743,912,250,8.022246653427036,77.84572586564148,Sábado,No,Nublado,Residencial,Sí,Mañana,Restaurante,Ropa,Tarjeta,Baja,8762.26
119,4.233358109162116,434.751043658171,1,5,21.600407458426712,856,76,2.7479791444939656,22.886440674525854,Sábado,No,Nublado,Comercial,No,Tarde,Servicio,Alimentos,Plin,Baja,4931.48
123,7.847121172824072,934.9671867511942,0,8,9.75276703677812,166,156,12.740228614786716,55.453931697386736,Sábado,No,Soleado,Comercial,No,Noche,Servicio,Ropa,Plin,Media,7152.57
171,9.299472093608545,134.5592481512084,3,1,37.95081125926501,341,320,11.632815236910394,134.71616211057383,Sábado,No,Nublado,Comercial,No,Mañana,Restaurante,Tecnología,Tarjeta,Alta,8904.39
150,4.9480209887852125,535.9493587690183,0,1,19.445891474790486,320,244,2.03703009504139,12.361759336476847,Jueves,No,Nublado,Industrial,No,Mañana,Servicio,Otros,Efectivo,Baja,7984.84
169,6.311079511273325,922.5954539209652,2,7,16.939583152910025,496,36,12.708904966191078,124.77764446048462,Martes,No,Nublado,Comercial,No,Noche,Restaurante,Tecnología,Plin,Alta,4885.7
72,7.182693004017255,908.9079774555299,4,6,34.35436406990979,206,213,5.549418893944717,156.74781540834772,Sábado,No,Soleado,Comercial,No,Mañana,Tienda,Alimentos,Plin,Media,7240.94
21,11.356248197248398,198.70275274495415,0,5,30.15549016685788,621,145,5.940036400282633,42.3292127909085,Sábado,No,Nublado,Industrial,No,Mañana,Servicio,Ropa,Efectivo,Alta,2055.99
107,11.946040123383712,398.30581509163363,4,5,21.308478881598575,233,81,3.517250039381862,44.384027008457636,Martes,No,Nublado,Comercial,No,Noche,Tienda,Tecnología,Yape,Baja,5044.04
177,4.359290391964927,638.1653300443614,2,9,33.866936186251465,473,395,12.694257700894692,15.482709637561328,Miércoles,No,Soleado,Industrial,No,Tarde,Restaurante,Alimentos,Plin,Alta,9310.08
57,10.088063387963135,201.42514053283207,4,1,17.20496841728532,705,75,6.665880693877948,107.36550737835769,Martes,No,Lluvioso,Industrial,No,Mañana,Restaurante,Alimentos,Tarjeta,Alta,2517.99
149,6.973792531218746,969.6210634434518,2,8,40.767361772194704,722,422,1.6837021895243918,134.37163580581625,Jueves,No,Nublado,Industrial,No,Tarde,Servicio,Alimentos,Efectivo,Alta,10246.94
40,7.13966548983584,919.0118622912773,4,2,15.319352763844426,650,471,14.527494789566282,96.81282059607759,Viernes,No,Lluvioso,Comercial,No,Noche,Servicio,Alimentos,Tarjeta,Alta,7965.57
180,10.03411978677618,208.60267008274573,4,7,12.147696292190703,65,52,4.582420995452071,83.99527382898023,Domingo,No,Nublado,Residencial,No,Mañana,Servicio,Otros,Efectivo,Alta,6215.78
