iter	Logloss
0	0.6921381128
1	0.6908457516
2	0.6886088364
3	0.6873259333
4	0.6850010996
5	0.6829949532
6	0.6809715679
7	0.679180815
8	0.6776824718
9	0.6767657797
10	0.6754854392
11	0.6741101913
12	0.6726241949
13	0.6713439475
14	0.6702468057
15	0.6686247149
16	0.6672283143
17	0.6654344864
18	0.6645079169
19	0.6635498047
20	0.6623282629
21	0.6615640655
22	0.6602860545
23	0.6592412818
24	0.6581598879
25	0.656851406
26	0.655817955
27	0.6545672468
28	0.6536140267
29	0.6526096956
30	0.6515718183
31	0.6508466648
32	0.6496963152
33	0.6485810491
34	0.6476452078
35	0.646849328
36	0.6456887282
37	0.6447357877
38	0.6438310696
39	0.6427014999
40	0.6415354023
41	0.6404224658
42	0.63940029
43	0.6382405288
44	0.6375634113
45	0.6368725959
46	0.6359062835
47	0.6352136044
48	0.6344023493
49	0.6333863237
50	0.6323861391
51	0.6317095807
52	0.6309060133
53	0.630105288
54	0.6293107593
55	0.628480588
56	0.6272666873
57	0.6266882045
58	0.6262077506
59	0.6252817867
60	0.624729768
61	0.6239555068
62	0.6231373561
63	0.622434753
64	0.6215715015
65	0.6208353523
66	0.6201959741
67	0.619602116
68	0.6190276867
69	0.6183866777
70	0.6177440847
71	0.616858842
72	0.6159616718
73	0.6151814002
74	0.6143378571
75	0.6136380028
76	0.6129788697
77	0.6123327357
78	0.6114457225
79	0.6107910156
80	0.6101854164
81	0.6094127393
82	0.6088930552
83	0.6083908896
84	0.6078650089
85	0.6073330246
86	0.6069003273
87	0.6062693822
88	0.6053088472
89	0.6044306398
90	0.6039223707
91	0.6033236205
92	0.6027985784
93	0.6018562142
94	0.6015558374
95	0.6010126245
96	0.6003096486
97	0.5999247078
98	0.5994319071
99	0.5991327883
100	0.5986536856
101	0.5981172285
102	0.5976453009
103	0.5973936591
104	0.5969027221
105	0.596519412
106	0.5957941652
107	0.5951964866
108	0.5947814941
109	0.5943043483
110	0.5939432625
111	0.5936116226
112	0.593224259
113	0.5927636998
114	0.592018838
115	0.5913968851
116	0.5910696248
117	0.5907910529
118	0.5904752542
119	0.5898538138
120	0.5895406243
121	0.5891778611
122	0.5887612845
123	0.5884536394
124	0.5879092151
125	0.5875573544
126	0.5872341942
127	0.5864849527
128	0.5860852424
129	0.5857009538
130	0.585268769
131	0.5847734524
132	0.5844535536
133	0.5839281388
134	0.5834506668
135	0.5832842878
136	0.5828179046
137	0.5822465038
138	0.5818642653
139	0.5813004122
140	0.5809551676
141	0.5803511525
142	0.5801751756
143	0.5798578859
144	0.5794498822
145	0.5791277936
146	0.5787884195
147	0.5784587365
148	0.5780761719
149	0.577790518
150	0.5773638776
151	0.5767219369
152	0.5765601704
153	0.576265571
154	0.5757793397
155	0.5752432088
156	0.5746348607
157	0.5743982213
158	0.5742296059
159	0.5736571334
160	0.5731396857
161	0.5729218228
162	0.5724545078
163	0.5721652198
164	0.5717140722
165	0.5714566995
166	0.5710060178
167	0.5705935413
168	0.570007697
169	0.5695959659
170	0.5691218485
171	0.5688123863
172	0.5682836635
173	0.5680302511
174	0.5672778879
175	0.5669410298
176	0.5663413011
177	0.5656307774
178	0.5652805008
179	0.5650325397
180	0.5647453483
181	0.5643694463
182	0.5641333194
183	0.5638144457
184	0.5636416836
185	0.5633356691
186	0.5630093873
187	0.5626973625
188	0.5624200486
189	0.5620523467
190	0.5617199614
191	0.5613385615
192	0.561035529
193	0.5607502013
194	0.560629156
195	0.5604527597
196	0.5600515118
197	0.55977909
198	0.5593705738
199	0.5589553018
200	0.5585478106
201	0.5582000499
202	0.5577827745
203	0.5572967296
204	0.5570605096
205	0.5567503951
206	0.5564149347
207	0.5559311728
208	0.5555825736
209	0.5552759069
210	0.5550981594
211	0.5547526818
212	0.5544873886
213	0.5540334454
214	0.5536220871
215	0.5534745777
216	0.5532001059
217	0.5529345796
218	0.552505796
219	0.5521579422
220	0.5517719764
221	0.5514515185
222	0.5511784444
223	0.5509824796
224	0.5506106311
225	0.5502236403
226	0.549696222
227	0.5493163131
228	0.548737178
229	0.5485923709
230	0.5481909366
231	0.5479332844
232	0.5474843265
233	0.5470513497
234	0.5465230927
235	0.5461742139
236	0.5458425274
237	0.5456135757
238	0.5454482217
239	0.5450752549
240	0.5446987007
241	0.5442715011
242	0.5439433556
243	0.5436728441
244	0.5433541101
245	0.5431075467
246	0.5427964072
247	0.5426092949
248	0.5423091976
249	0.5421590325
250	0.5418491975
251	0.5415495195
252	0.5413490354
253	0.5411325702
254	0.5406665132
255	0.5403997756
256	0.5402116848
257	0.5398974237
258	0.5395723532
259	0.5391741804
260	0.5389409888
261	0.5384447869
262	0.5382156489
263	0.5378818658
264	0.5375629454
265	0.5371404983
266	0.5368458522
267	0.5365099259
268	0.5361448332
269	0.5359211929
270	0.5356735113
271	0.5354493119
272	0.5351336996
273	0.5348975262
274	0.5345404006
275	0.5342984032
276	0.5339320059
277	0.5336916858
278	0.5334255539
279	0.5330393085
280	0.5326599587
281	0.5324935331
282	0.5321984211
283	0.5318663619
284	0.5317101398
285	0.5314253712
286	0.5311833272
287	0.5309642996
288	0.5306845629
289	0.5302568043
290	0.5300684339
291	0.5296816294
292	0.529311598
293	0.5290163462
294	0.5286478523
295	0.5283447732
296	0.5281479697
297	0.5280190038
298	0.5276371847
299	0.5273813029
300	0.5271353918
301	0.5268730804
302	0.5266822873
303	0.5263531168
304	0.5260247383
305	0.5257774761
306	0.525513534
307	0.5252852345
308	0.5250852629
309	0.5248455018
310	0.5246248435
311	0.5243588979
312	0.5241051594
313	0.5238617642
314	0.52354112
315	0.5233623941
316	0.5230724539
317	0.5227246001
318	0.5224384337
319	0.5221613527
320	0.5219874258
321	0.5216939446
322	0.5214438402
323	0.5211995132
324	0.5208973193
325	0.5207180344
326	0.5206383159
327	0.5203834592
328	0.5201628474
329	0.5199490846
330	0.5196987938
331	0.5193975783
332	0.5191731926
333	0.5187699413
334	0.5184587086
335	0.5182473685
336	0.5180401751
337	0.5177021056
338	0.5174835904
339	0.5172808698
340	0.5169756008
341	0.5166762956
342	0.5163547661
343	0.5159983395
344	0.5157381247
345	0.5154752542
346	0.5152674551
347	0.5150021153
348	0.514737055
349	0.5145237581
350	0.5142757037
351	0.5138725921
352	0.5136437802
353	0.5133606423
354	0.5130175874
355	0.5126665188
356	0.5123969391
357	0.5121496768
358	0.5119640088
359	0.5117994935
360	0.5115642053
361	0.5114026718
362	0.5111664517
363	0.5109294862
364	0.5107510399
365	0.5105592684
366	0.5103381441
367	0.5101663604
368	0.5098699905
369	0.5096974147
370	0.5095078796
371	0.5092521376
372	0.5089615916
373	0.5087129316
374	0.5084686978
375	0.5080550565
376	0.5078401289
377	0.5075146857
378	0.5072670041
379	0.5071040263
380	0.5068587209
381	0.5066670891
382	0.5064653469
383	0.5062222313
384	0.5059316854
385	0.5056112275
386	0.5053135064
387	0.5051301214
388	0.504866319
389	0.5047162937
390	0.50450719
391	0.504336012
392	0.5040692278
393	0.5038276498
394	0.5034939133
395	0.5033328923
396	0.5032031809
397	0.5029841532
398	0.5028015603
399	0.5025132507
400	0.5023519036
401	0.5022045339
402	0.5020324707
403	0.5017621921
404	0.5015447951
405	0.5014079087
406	0.5011077648
407	0.5008394897
408	0.500545822
409	0.5002813674
410	0.5001278477
411	0.4999348648
412	0.4996897923
413	0.499450404
414	0.4993131448
415	0.4990674201
416	0.4988285909
417	0.4985919516
418	0.4983898367
419	0.4981609315
420	0.4978543114
421	0.4975596188
422	0.4973080701
423	0.4971394546
424	0.497052794
425	0.4969408341
426	0.4966366833
427	0.4963516352
428	0.496161541
429	0.4958736507
430	0.4956937601
431	0.4954536729
432	0.4952362759
433	0.4950123095
434	0.4948050696
435	0.4945176452
436	0.4943527571
437	0.4939905531
438	0.4936998207
439	0.4933461895
440	0.4931855879
441	0.4929930243
442	0.4928401568
443	0.4926173552
444	0.4921844249
445	0.4919775577
446	0.491754197
447	0.4915534798
448	0.4913879395
449	0.491137043
450	0.4910194455
451	0.490854371
452	0.4906431708
453	0.4904250283
454	0.4901951448
455	0.4899934026
456	0.4898423522
457	0.4896270985
458	0.4893249046
459	0.4891435696
460	0.4889738825
461	0.4887921748
462	0.4885439341
463	0.4883773221
464	0.4879158311
465	0.4877934347
466	0.4875834924
467	0.4873722455
468	0.4872643391
469	0.4868948201
470	0.4865603381
471	0.4863081837
472	0.4861350955
473	0.485859552
474	0.4856417823
475	0.4854489392
476	0.4852503653
477	0.4851093321
478	0.4849574897
479	0.484760034
480	0.484575158
481	0.484351145
482	0.4840482988
483	0.48394398
484	0.4837913455
485	0.4834493157
486	0.4832817252
487	0.4829281407
488	0.4825967337
489	0.4823516147
490	0.4820538004
491	0.4817835684
492	0.4815073727
493	0.4812433374
494	0.4810750947
495	0.4809242307
496	0.4806397882
497	0.4804703341
498	0.4803292078
499	0.4800922423
500	0.4799243257
501	0.4796566563
502	0.4794058996
503	0.4791533259
504	0.4787893048
505	0.4784179687
506	0.4781104634
507	0.4779028507
508	0.4776597817
509	0.4774004521
510	0.4770578632
511	0.4767477953
512	0.4764208612
513	0.4761586895
514	0.4759165058
515	0.4757664338
516	0.4755695372
517	0.4752763821
518	0.4749969249
519	0.4746843411
520	0.4744914048
521	0.4741701548
522	0.4739768924
523	0.4738219749
524	0.4735332926
525	0.4733047602
526	0.4730939326
527	0.4729388288
528	0.472684205
529	0.4725587801
530	0.472406099
531	0.4721080052
532	0.4719302112
533	0.4718190899
534	0.4715196449
535	0.4712943274
536	0.4710281023
537	0.4708207225
538	0.4705879503
539	0.4703049521
540	0.4699553279
541	0.4695900953
542	0.4694536282
543	0.4690497711
544	0.4688812955
545	0.4686273706
546	0.4683475407
547	0.4680364944
548	0.4677742762
549	0.4675924753
550	0.4674568467
551	0.4672712719
552	0.4671112759
553	0.466927192
554	0.4668039569
555	0.4666489929
556	0.4664729693
557	0.466283341
558	0.4660133886
559	0.4657671979
560	0.4655287415
561	0.4653589613
562	0.4651766479
563	0.4650712574
564	0.4647878399
565	0.4646171279
566	0.4642906131
567	0.4640657614
568	0.4638225526
569	0.4635534854
570	0.4634362141
571	0.4631667741
572	0.4628978467
573	0.4627672501
574	0.4625180776
575	0.4622892656
576	0.4621288503
577	0.4618179438
578	0.4616755129
579	0.4614902176
580	0.4612110866
581	0.4610295187
582	0.4608266117
583	0.4605479
584	0.4602795317
585	0.4600928853
586	0.459877119
587	0.4595005181
588	0.4592396976
589	0.4590246302
590	0.4588425498
591	0.4586741673
592	0.4584595192
593	0.4582838219
594	0.4581341693
595	0.4579261838
596	0.4577079016
597	0.4574679542
598	0.4572728747
599	0.4569959801
600	0.4568115234
601	0.4564905531
602	0.456278421
603	0.455989925
604	0.4558323518
605	0.4555658937
606	0.4553805985
607	0.4551164234
608	0.4549157528
609	0.454777655
610	0.4545732571
611	0.4543774787
612	0.4541091104
613	0.4538489422
614	0.4535287639
615	0.4533606143
616	0.4531619938
617	0.4529808452
618	0.4527619107
619	0.4525829985
620	0.4523865212
621	0.4521575695
622	0.4519701776
623	0.4517224028
624	0.4515467986
625	0.4513989165
626	0.4512157644
627	0.4510024675
628	0.4506285689
629	0.4504533375
630	0.4502521544
631	0.4501312023
632	0.4498497883
633	0.4495284918
634	0.4492968377
635	0.449163865
636	0.4489811322
637	0.4488366047
638	0.4486369126
639	0.4483624873
640	0.4482594264
641	0.4480963554
642	0.4479144147
643	0.4477852159
644	0.4475957739
645	0.4473508879
646	0.4471481207
647	0.4468944753
648	0.4467801858
649	0.4466192114
650	0.4463229813
651	0.4461807833
652	0.4460130531
653	0.4457683534
654	0.4455828718
655	0.445354153
656	0.445150454
657	0.4449167033
658	0.4447856408
659	0.4446140435
660	0.4444214799
661	0.4443284362
662	0.4441429546
663	0.4439489001
664	0.4437268905
665	0.4435552466
666	0.4433170697
667	0.4431915516
668	0.4429839855
669	0.4428446297
670	0.4426434466
671	0.4425122443
672	0.4423132977
673	0.4421896432
674	0.4419431264
675	0.4416077592
676	0.4414564759
677	0.4412451358
678	0.4410899854
679	0.4408642951
680	0.4406215522
681	0.4403557464
682	0.4402012017
683	0.4398449614
684	0.4396180131
685	0.4393259296
686	0.4390738684
687	0.4388131411
688	0.4385466365
689	0.4382860489
690	0.4380713543
691	0.4378441731
692	0.4375610817
693	0.4373937709
694	0.4372040028
695	0.4369107545
696	0.4367934831
697	0.4366284552
698	0.4363304546
699	0.4360833321
700	0.4358766978
701	0.4356120102
702	0.4353965235
703	0.4351908211
704	0.435009952
705	0.4348921681
706	0.4346097757
707	0.434439017
708	0.4341145523
709	0.4339322855
710	0.4337801169
711	0.4336086594
712	0.4334504339
713	0.4331333306
714	0.432877542
715	0.4325864836
716	0.4323639149
717	0.4321649682
718	0.4319667671
719	0.4316918759
720	0.4314947929
721	0.4312968713
722	0.4310756538
723	0.4308781981
724	0.4306494793
725	0.4304982892
726	0.430383394
727	0.4302540088
728	0.430092615
729	0.4298236876
730	0.4294825896
731	0.4292916101
732	0.429007354
733	0.4288023505
734	0.4285743772
735	0.4283779931
736	0.4282296916
737	0.4280372212
738	0.4278226663
739	0.4275276941
740	0.4273855428
741	0.4271898109
742	0.4268575654
743	0.4267015297
744	0.4264865089
745	0.4262565788
746	0.4259487938
747	0.4256591797
748	0.4253957035
749	0.4251926568
750	0.4249494946
751	0.4247881474
752	0.4245928349
753	0.4243575001
754	0.4241543602
755	0.4239987905
756	0.4237541373
757	0.4235044523
758	0.4232539286
759	0.4230945849
760	0.422876722
761	0.4226597444
762	0.422454834
763	0.4223073712
764	0.4221155065
765	0.4219365943
766	0.4217355044
767	0.4214689997
768	0.4212925103
769	0.4209367359
770	0.4207832628
771	0.4204511104
772	0.4203111022
773	0.4200338349
774	0.4197993854
775	0.4195790531
776	0.4192921413
777	0.4190630964
778	0.4189321736
779	0.4187413339
780	0.4185688514
781	0.4183105469
782	0.4180739075
783	0.417818119
784	0.4176026322
785	0.4173758237
786	0.4172569217
787	0.4169691712
788	0.4167055552
789	0.4164808899
790	0.416273184
791	0.4160287173
792	0.4157348167
793	0.4154790281
794	0.4152353534
795	0.4149371664
796	0.4146917212
797	0.4145175614
798	0.4144008957
799	0.4142209119
800	0.4139211407
801	0.4138196639
802	0.4136319459
803	0.4134941742
804	0.4132785477
805	0.4131038753
806	0.4129052548
807	0.4126937284
808	0.412456297
809	0.4122698835
810	0.4120207575
811	0.4118390498
812	0.4115543744
813	0.4113904647
814	0.4112375973
815	0.4110461053
816	0.4109406682
817	0.410820182
818	0.4106965276
819	0.4104700452
820	0.4103492329
821	0.41014586
822	0.4099955086
823	0.4098440389
824	0.4097301687
825	0.409479645
826	0.4092996612
827	0.4091131079
828	0.4088642149
829	0.4086754719
830	0.4084719592
831	0.4082445916
832	0.4080790978
833	0.4079300975
834	0.4077442431
835	0.4074567722
836	0.4072050371
837	0.4070518435
838	0.4068473059
839	0.4065456245
840	0.4063854887
841	0.4061945559
842	0.4060164823
843	0.4057684745
844	0.405621897
845	0.405221115
846	0.4049776732
847	0.4047812891
848	0.404548843
849	0.4043985381
850	0.4042047632
851	0.4040616334
852	0.4038995408
853	0.4037415949
854	0.4035988378
855	0.4033788317
856	0.4032190687
857	0.403049801
858	0.4029143122
859	0.4028059399
860	0.4025754972
861	0.4023445887
862	0.4021988963
863	0.4019829903
864	0.4017617262
865	0.4014406161
866	0.401297067
867	0.4011271935
868	0.4008723834
869	0.4007204944
870	0.4005340343
871	0.4002779662
872	0.4001471833
873	0.3999381262
874	0.3997777109
875	0.3995665106
876	0.399423474
877	0.3992014645
878	0.3990535823
879	0.3989125492
880	0.3987375507
881	0.3984976033
882	0.3983015454
883	0.3980995236
884	0.3979196796
885	0.3977513903
886	0.3975532357
887	0.397333183
