iter	Passed	Remaining
0	136	136338
1	140	70099
2	144	47981
3	148	36964
4	153	30448
5	156	25949
6	160	22813
7	165	20469
8	168	18593
9	172	17065
10	176	15839
11	179	14815
12	183	13969
13	187	13213
14	191	12582
15	195	12002
16	198	11488
17	202	11031
18	205	10631
19	209	10279
20	213	9970
21	217	9669
22	221	9391
23	224	9142
24	228	8903
25	231	8683
26	235	8479
27	239	8313
28	243	8140
29	246	7980
30	250	7825
31	254	7694
32	258	7584
33	262	7453
34	265	7324
35	269	7207
36	272	7096
37	275	6983
38	278	6873
39	282	6768
40	285	6668
41	288	6571
42	291	6478
43	294	6388
44	296	6302
45	300	6233
46	305	6186
47	308	6113
48	311	6041
49	314	5974
50	317	5915
51	321	5856
52	324	5798
53	327	5736
54	330	5680
55	334	5630
56	337	5579
57	340	5525
58	343	5473
59	346	5422
60	349	5377
61	352	5337
62	356	5297
63	359	5254
64	362	5213
65	365	5173
66	368	5137
67	372	5103
68	375	5066
69	378	5030
70	382	5006
71	386	4978
72	389	4952
73	393	4923
74	399	4926
75	403	4911
76	407	4880
77	410	4850
78	414	4837
79	418	4817
80	422	4790
81	425	4761
82	429	4741
83	432	4720
84	435	4691
85	439	4666
86	442	4645
87	446	4623
88	449	4599
89	452	4578
90	456	4557
91	459	4539
92	463	4516
93	465	4491
94	469	4468
95	472	4449
96	475	4427
97	478	4404
98	481	4382
99	485	4369
100	488	4351
101	491	4331
102	495	4311
103	498	4292
104	502	4284
105	505	4265
106	509	4248
107	512	4230
108	517	4227
109	520	4214
110	524	4197
111	527	4179
112	530	4161
113	533	4147
114	536	4132
115	540	4116
116	543	4100
117	546	4083
118	549	4068
119	552	4053
120	555	4037
121	558	4022
122	561	4006
123	565	3992
124	568	3979
125	571	3965
126	574	3951
127	579	3947
128	582	3936
129	586	3925
130	589	3913
131	593	3899
132	596	3890
133	600	3880
134	604	3873
135	607	3860
136	610	3848
137	614	3840
138	619	3834
139	622	3822
140	625	3810
141	628	3799
142	632	3790
143	635	3778
144	638	3766
145	641	3752
146	645	3744
147	648	3731
148	651	3721
149	654	3709
150	657	3698
151	660	3687
152	664	3676
153	667	3666
154	670	3654
155	673	3645
156	678	3644
157	684	3649
158	692	3663
159	697	3661
160	701	3657
161	706	3654
162	710	3648
163	715	3646
164	719	3643
165	724	3637
166	728	3635
167	732	3628
168	736	3620
169	740	3617
170	744	3610
171	748	3602
172	752	3598
173	757	3593
174	760	3583
175	763	3573
176	766	3562
177	769	3553
178	772	3545
179	775	3534
180	778	3523
181	781	3513
182	784	3503
183	787	3494
184	791	3487
185	795	3483
186	799	3478
187	803	3470
188	806	3461
189	810	3453
190	813	3444
191	816	3434
192	820	3431
193	823	3421
194	826	3411
195	829	3401
196	832	3391
197	835	3384
198	838	3375
199	841	3365
200	844	3355
201	846	3345
202	849	3336
203	853	3328
204	855	3319
205	858	3310
206	861	3301
207	864	3291
208	867	3282
209	870	3273
210	872	3264
211	875	3254
212	878	3245
213	881	3238
214	885	3231
215	887	3222
216	890	3213
217	893	3204
218	896	3196
219	899	3188
220	902	3180
221	905	3171
222	907	3163
223	911	3157
224	914	3151
225	917	3142
226	920	3134
227	923	3125
228	926	3118
229	929	3111
230	932	3103
231	934	3094
232	937	3086
233	940	3079
234	943	3072
235	947	3067
236	950	3059
237	952	3051
238	955	3043
239	958	3035
240	962	3029
241	965	3023
242	968	3015
243	971	3009
244	974	3002
245	977	2995
246	980	2989
247	983	2982
248	986	2975
249	989	2967
250	992	2961
251	995	2955
252	998	2948
253	1001	2941
254	1004	2935
255	1007	2929
256	1011	2925
257	1015	2919
258	1018	2912
259	1021	2906
260	1024	2901
261	1028	2897
262	1031	2891
263	1034	2885
264	1037	2878
265	1042	2877
266	1045	2871
267	1049	2865
268	1051	2858
269	1056	2857
270	1060	2853
271	1064	2848
272	1068	2845
273	1073	2844
274	1077	2841
275	1082	2838
276	1085	2834
277	1089	2830
278	1093	2825
279	1096	2820
280	1100	2816
281	1106	2817
282	1111	2815
283	1114	2810
284	1119	2808
285	1123	2804
286	1128	2802
287	1133	2802
288	1138	2801
289	1142	2797
290	1146	2793
291	1150	2790
292	1155	2787
293	1158	2782
294	1162	2778
295	1166	2773
296	1170	2769
297	1173	2764
298	1177	2761
299	1182	2759
300	1186	2755
301	1190	2750
302	1193	2745
303	1196	2740
304	1200	2736
305	1204	2732
306	1209	2730
307	1213	2726
308	1217	2722
309	1221	2718
310	1224	2713
311	1228	2708
312	1232	2704
313	1235	2699
314	1239	2695
315	1242	2690
316	1247	2687
317	1251	2684
318	1255	2679
319	1258	2673
320	1261	2669
321	1265	2665
322	1269	2661
323	1273	2656
324	1276	2651
325	1280	2647
326	1284	2643
327	1287	2638
328	1290	2632
329	1294	2628
330	1297	2623
331	1301	2617
332	1304	2612
333	1307	2607
334	1310	2602
335	1314	2597
336	1317	2592
337	1320	2586
338	1323	2581
339	1327	2576
340	1330	2571
341	1333	2565
342	1336	2560
343	1340	2555
344	1343	2550
345	1346	2545
346	1350	2541
347	1354	2536
348	1357	2532
349	1361	2527
350	1364	2522
351	1367	2517
352	1370	2512
353	1374	2507
354	1377	2502
355	1380	2497
356	1383	2492
357	1386	2487
358	1390	2482
359	1393	2477
360	1396	2472
361	1399	2466
362	1402	2461
363	1406	2457
364	1409	2452
365	1412	2447
366	1415	2441
367	1418	2436
368	1422	2432
369	1425	2427
370	1428	2422
371	1432	2417
372	1435	2412
373	1438	2408
374	1441	2403
375	1445	2398
376	1448	2393
377	1452	2390
378	1456	2385
379	1459	2381
380	1462	2376
381	1465	2371
382	1469	2366
383	1472	2361
384	1475	2357
385	1478	2352
386	1481	2347
387	1485	2342
388	1488	2338
389	1491	2333
390	1495	2328
391	1498	2323
392	1501	2319
393	1504	2314
394	1507	2309
395	1510	2304
396	1514	2299
397	1517	2295
398	1521	2291
399	1524	2286
400	1527	2281
401	1530	2277
402	1535	2274
403	1538	2270
404	1541	2265
405	1545	2260
406	1549	2257
407	1552	2252
408	1556	2248
409	1559	2243
410	1562	2238
411	1565	2234
412	1568	2229
413	1571	2224
414	1574	2219
415	1577	2214
416	1581	2210
417	1584	2205
418	1587	2200
419	1590	2196
420	1593	2191
421	1597	2188
422	1601	2184
423	1605	2181
424	1609	2177
425	1612	2172
426	1615	2167
427	1618	2163
428	1621	2158
429	1624	2153
430	1627	2148
431	1630	2143
432	1633	2138
433	1635	2133
434	1638	2128
435	1642	2124
436	1647	2122
437	1650	2117
438	1653	2112
439	1655	2107
440	1659	2102
441	1661	2097
442	1664	2093
443	1667	2088
444	1670	2083
445	1673	2078
446	1675	2073
447	1678	2068
448	1681	2063
449	1684	2058
450	1686	2053
451	1689	2048
452	1692	2043
453	1695	2038
454	1697	2033
455	1700	2028
456	1703	2023
457	1706	2019
458	1709	2014
459	1711	2009
460	1714	2004
461	1717	1999
462	1720	1995
463	1723	1991
464	1726	1986
465	1730	1982
466	1733	1978
467	1736	1973
468	1739	1968
469	1741	1964
470	1745	1960
471	1748	1955
472	1751	1950
473	1753	1946
474	1756	1941
475	1759	1936
476	1762	1932
477	1765	1928
478	1768	1923
479	1771	1918
480	1774	1914
481	1777	1910
482	1781	1906
483	1783	1901
484	1786	1897
485	1789	1892
486	1792	1888
487	1795	1883
488	1798	1879
489	1801	1874
490	1803	1869
491	1806	1865
492	1809	1860
493	1812	1856
494	1815	1851
495	1818	1847
496	1820	1842
497	1823	1838
498	1826	1834
499	1829	1829
500	1832	1824
501	1834	1820
502	1837	1815
503	1841	1812
504	1844	1808
505	1847	1803
506	1850	1799
507	1853	1795
508	1857	1791
509	1860	1787
510	1863	1783
511	1866	1778
512	1869	1774
513	1872	1770
514	1875	1766
515	1878	1762
516	1881	1757
517	1884	1753
518	1887	1749
519	1890	1745
520	1893	1741
521	1896	1736
522	1899	1732
523	1902	1728
524	1905	1724
525	1908	1720
526	1911	1715
527	1914	1711
528	1917	1706
529	1920	1702
530	1923	1698
531	1926	1694
