clientes_dia,horas_abierto,publicidad_soles,promociones_activas,empleados_turno,precio_promedio,visitas_redes,productos_vendidos,tiempo_espera_min,ticket_promedio,dia_semana,feriado,clima,zona,evento_especial,turno,tipo_local,sector,método_pago_predominante,competencia_cerca,ventas_soles
122,4.096.824.934.208.850,9.358.787.554.425.130,4,9,40.141.186.346.953.600,568,400,1.222.616.170.486.520,11.421.480.942.053.200,Viernes,No,Soleado,Residencial,No,Noche,Restaurante,Alimentos,Efectivo,Media,10527.05
199,4.072.307.752.634.330,8.665.278.268.436.530,4,6,4.672.326.959.957.060,271,498,6.279.560.734.781.120,1.771.757.124.130.670,Miércoles,No,Nublado,Residencial,No,Noche,Tienda,Otros,Plin,Alta,14156.56
112,68.562.347.517.600.900,724.295.797.712.774,3,9,4.954.707.281.583.490,126,216,10.908.208.629.292.600,1.652.756.460.770.840,Jueves,No,Lluvioso,Comercial,Sí,Mañana,Servicio,Tecnología,Yape,Media,7163.48
34,11.409.552.547.454.200,50.811.396.882.046.000,1,3,31.157.722.938.247.600,387,182,12.721.215.366.402.200,17.871.647.539.141.700,Sábado,No,Lluvioso,Comercial,No,Mañana,Tienda,Ropa,Efectivo,Alta,4371.97
126,582.941.423.682.887,5.443.074.448.818.160,1,4,9.899.672.721.402.450,912,412,14.481.799.188.813.900,12.708.843.495.926.000,Domingo,No,Lluvioso,Residencial,No,Tarde,Restaurante,Otros,Plin,Baja,9989.83
91,9.074.909.510.973.490,9.764.823.085.197.600,3,6,2.566.084.584.989.460,839,145,22.014.034.562.073.800,1.030.322.022.456.620,Sábado,No,Lluvioso,Residencial,No,Tarde,Restaurante,Ropa,Yape,Media,8403.3
40,5.776.606.965.546.560,9.674.819.216.900.720,1,4,40.442.051.590.774,895,178,11.174.107.457.661.200,9.724.754.053.820.410,Domingo,No,Lluvioso,Comercial,No,Noche,Restaurante,Ropa,Tarjeta,Baja,6787.9
122,6.573.359.917.276.380,25.450.559.349.654.200,2,1,6.247.639.614.283.210,899,249,8.677.949.741.314.260,15.056.362.568.226.400,Sábado,No,Lluvioso,Industrial,No,Tarde,Servicio,Alimentos,Tarjeta,Baja,6959.5
141,10.784.336.716.811.800,8.205.493.379.900.520,3,7,7.559.934.726.026.700,788,221,4.699.373.466.250.000,10.904.697.688.174.200,Martes,No,Soleado,Comercial,No,Tarde,Servicio,Ropa,Plin,Baja,9710.04
94,9.830.891.538.159.570,23.738.053.285.866.500,3,5,802.210.020.722.696,962,262,7.567.425.056.410.060,30.096.071.289.821.500,Miércoles,No,Lluvioso,Residencial,No,Tarde,Restaurante,Tecnología,Efectivo,Alta,4752.6
